candidate_id,annotator_id,elliptical_type,candidate_text,span,sentence_quality,acquisition_method
sim_v0_7355,5,Argument Drop,Ursula'nın onlardan korktuğunu biliyordum ama ben korkmuyordum.,['onlardan'],True,raw
odhm_0_46,6,Genitive Drop,"Her şeyde hemen karşıtını görüyordum, çelişkiyi; gerçekle gerçekdışının arasında da ironiyi, paradoksu.",['Her şeyde'],True,raw
sim_v0_3872,1,Subject Drop,Yokuş aşağı çok rahat ve yorulmadan ilerliyorduk.,,,raw
aug_prop_1088,5,Argument Drop,Jacques Melies silahını indirdi ve serseriler kaçtı.,[],True,augmentation
aug_prop_22065,1,Gapping,"Nilgün gibi o da düşecek , hem de ölümde ve yaşamda kader birliği ettiği arkadaşlarının eliyle .",,,augmentation
seed_832,1,Subject Drop,Hem akşam yemeği pişirmek istiyorum hem de film izlemek.,[],True,gold
sim_v0_4201,1,Object Drop,Camdan dışarı atabilirdi yada hapı yutabilirdi.,,,raw
aug_prop_3956,3,Subject Drop,Çayı aldı ama bizimkini içmedi.,[],True,augmentation
sim_v0_25474,5,NP Drop,İbranice bilenler verilen anlamları tartışacaklardır (şimdiden bunu yapmışlardır).,[],True,raw
sim_v0_25379,5,Object Drop,"Duval adına iki mektup vardı, aldım, geldim.",['Duval adına iki mektup'],True,raw
sim_v0_24163,5,Genitive Drop,"Kapıcımız beş dakikalığına tuvalete gittiği için, o açmış size kapıyı.",[],True,raw
aug_prop_18192,4,Genitive Drop,Mehmet gazeteyi kaptı ve ziyaretçilerine gösterdi .,['Mehmet'],True,augmentation
aug_prop_24426,5,Genitive Drop,"Coşkun bakışı odak noktasını kaybetti , gözleri anılarla düzleşti .",[],True,augmentation
aug_prop_9922,5,Subject Drop,Mustafa artık Mehmet akif un yüzünü göremiyor ama gürleyen sesini duyuyordu .,['Mustafa'],True,augmentation
seed_1066,3,Genitive Drop,Şnorkelini taktı ve denize daldı.,[],True,gold
aug_prop_23679,5,Genitive Drop,Büşra ağzını açtı ve kan tükürdü .,['Büşra'],True,augmentation
aug_prop_694,5,Genitive Drop,Catti-brie arkasını döndü ve nefesi kesildi.,['Catti-brie'],True,augmentation
aug_prop_19484,5,Object Drop,"Mustafa gözlerini yumdu , ama ağzım saklayamadı .",[],True,augmentation
sim_v0_16177,5,Subject Drop,Ben Lukas Fehrwight değilim; kahrolası bir hırsızım.,['Ben'],True,raw
aug_prop_2923,5,Subject Drop,Tarlalardaki ürünler büyüyene kadar hayatta kalmalıyız.,[],True,augmentation
aug_prop_25454,1,Genitive Drop,"yedi kere daha yüzü bembeyaz kesildi , öyle ki bayılacağını sandım .",,,augmentation
sim_v0_1740,1,Genitive Drop,Metias’ın günlükleri aklıma geldi.,,,raw
aug_prop_17423,6,Argument Drop,Eftal murat dönmeyi bıraktı ama sırtı arkasından yaklaşan yaratığa dönüktü .,['Eftal murat'],True,augmentation
sim_v0_15002,5,Genitive Drop,"Ağzı, burun delikleri ve gözleri kumla doluydu.",[],True,raw
aug_prop_2565,5,Subject Drop,Çeşitli zamanlarda Münebbih ile de görüşerek ilahî sıfatlar konusunu tartışmıştır.,[],True,augmentation
aug_prop_16843,1,Genitive Drop,"Sultan gülmek istedi fakat gülümsemesi yarım kaldı , yaraları acıyordu .",,,augmentation
aug_prop_25620,5,Genitive Drop,Ayhan cevap vermedi ama göğsü kabardı .,['Ayhan'],True,augmentation
aug_prop_11919,6,Argument Drop,"Velit bir şeyler söyledi ama Begüm anlamamıştı , başını salladı .",['Begüm'],True,augmentation
aug_prop_13665,5,Genitive Drop,Merve bunu öldürür ve öküzlerini alır .,['bunu'],True,augmentation
aug_prop_14732,5,Genitive Drop,"Mesude sinsi sinsi güldü , yeşil gözleri ışıldadı .",['Mesude'],True,augmentation
aug_prop_15308,1,Argument Drop,Muhammet mustafa çiçekleri nişanlısı göndermiş ama hediyeyi annesi vermiş .,,,augmentation
aug_prop_3015,3,Genitive Drop,Kardeşlere selâm söyle. Konya'ya doğru yola çıkarken kardeşlerinizin ellerini öpün ve merhaba deyin.,[],True,augmentation
kstar_0_4900,1,Genitive Drop,"Sirke ve şeytantersi kokusu burun deliklerini yaktı, ama Estha alışkındı buna, seviyordu.",['Estha'],True,raw
aug_prop_2143,3,Genitive Drop,Elini bana bir kadın gibi uzattı ve yüksek sesle gülmeye başladı.,[],True,augmentation
aug_prop_15863,1,Gapping,"Hidayet bir tahtanın üzerine tırmanıyor , sonra bir başka tahtaya .",,,augmentation
zmhgw_0_1474,1,Subject Drop,"Budalaca hareketlerle iki üç Morlock geldi üzerime, onları titreyerek, yumruklarımla püskürttüm.",,,raw
aug_prop_2943,5,Subject Drop,2. Dünya Savaşı'ndan sonra Sahil Güvenlik'ten terhis olunca mürettebatıyla iddiaya girdi.,[],True,augmentation
sim_v0_21049,5,Genitive Drop,..” Jon umutsuzca ellerine bakıyordu.,['Jon'],True,raw
aug_prop_17229,5,Genitive Drop,Yavuz selim erkek olmakla ilgili ne öğrendiyse babasına borçlu ydu .,['Yavuz selim'],True,augmentation
ctyco_0_1042,6,Stripping,"Babam da hep bunun yapıldığını gördü, babamın babası da.","['hep bunun yapıldığını gördü,']",True,raw
aug_prop_2288,5,Subject Drop,Michelle kalabalıkta Sally'nin tanıdık yüzünü aradı ve aradığını buldu ve el salladı.,['Michelle'],True,augmentation
seed_181,1,Object Drop,"Sana mektup gönderdim, okur musun?",,,gold
aug_prop_20700,1,Pronominal Strategy,"Ahmet emre beni onaylamayabilir , ancak Derya öyle değil .",,,augmentation
aug_prop_18018,1,Sluicing,"Kardeşimiz Mümüne bir küçük musibeti varmış diye yazıyor , ne imiş ?",,,augmentation
spg_0_720,1,Genitive Drop,Bu yüzden kendimizdeki bu sorunları fark etmemiz gerek; ve bunların KENDİMİZDEN kaynaklandığını da.,[],True,raw
seed_336,1,Argument Drop,Radyoyu açınca hüzünlendi çünkü çalan şarkı annesini hatırlattı.,,,gold
odhm_0_4890,1,No Ellipsis,"Elimi bacaklarının arasına, o kalın kürk torbasına soktum ve ıpıslaktı, salyalı bir at gibi.",[],True,raw
sim_v0_14443,5,Subject Drop,"Isınmak için, yıla bölündüğünde günde iki meteliği aşmayan kömür yakıyordum.",[],True,raw
aug_prop_12155,5,Subject Drop,"Eylem , Süleyman Beyza ki çiçekçiden iki tane kırmızı gül almıştı , onları elinde dikkatlice tutuyordu .","['Eylem , Süleyman Beyza']",True,augmentation
aug_prop_6521,3,Genitive Drop,Yıldız Çağri uzanıp elimi tuttu .,[],True,augmentation
aug_prop_2560,3,Subject Drop,O kadar çok şey söyledi ki  neden bahsettiğini gece rüyalarımda gördüm.,[],True,augmentation
aug_prop_24154,5,Subject Drop,Sonra Savaş evinin yakınında serbest bıraktım .,[],True,augmentation
cbkpw_0_1067,1,Subject Drop,"Kapıda durduğumuzda lacivert duvarlara baktım, sonra kırık dökük yatağına.",,,raw
ytg_0_6888,1,Genitive Drop,"Jared Profitt ceketini giyip kravatını bağladı ve o bunaltıcı günün içine daldı, ama sıcaklığın farkında bile değildi.",['Jared Profitt'],True,raw
aug_prop_3550,5,Genitive Drop,Sesinde gizli bir öfke  omuzlarında kayıtsızlık vardı.,[],True,augmentation
aug_prop_23647,5,Ki Expression,"Burak elinde ki fincana baktı , aniden içinde kini Mehmet veysel yüzüne fırlattı .",[],True,augmentation
aug_prop_11009,3,Genitive Drop,Fakat Sultan gene yüzüne bakmadı .,[],True,augmentation
sluice_4199,3,Subject Drop,"Zengin bir çocuk olduğunuz için Bay Grinch, işte bu yüzden.",[],True,gold
sim_v0_2281,1,Gapping,Jeannette ne kuklaydı ne de köle.,,,raw
aug_prop_3289,5,Subject Drop,Keşke kalıcı bir iş bulabilseydim ve bana verdiğin bazı şeyleri ödeyebilseydim.,[],True,augmentation
aug_prop_21118,5,Subject Drop,üç koç yumurtasını kızartıyordu .,[],True,augmentation
sim_v0_22006,6,Object Drop,"Koluna girip kaldırıyor, evine götürüyor.",[],True,raw
aug_prop_13727,5,Subject Drop,Şüphesiz ki Yusuf iyileştirecek ve kardeşlerine katılacaktı .,['Yusuf'],True,augmentation
aug_prop_251,3,Subject Drop,Babam başını salladı ve uzağa baktı.,['Babam'],True,augmentation
aug_prop_6065,3,Genitive Drop,Bedri üvey babasının cömertliğinden cesaret almıştı .,['Bedri'],True,augmentation
aug_prop_19194,5,Argument Drop,"Muhammed BEYEFENDİ Söyleyin , boşboğaz değilimdir .",[],True,augmentation
sim_v0_4406,5,Subject Drop,Nick başını sallamış ve gülümsemeye çalışmıştı.,['Nick'],True,raw
skfmd_0_6060,1,Subject Drop,"Foma Fomiç'in aklına her şey gelebilirdi, ama böyle bir sonu hiç beklemezdi herhalde.",,,raw
sim_v0_24202,5,Genitive Drop,"Moiraine bunu tahminlerinin teyidi olarak gördü, Siuan bile inanmaya başladı.",['Moiraine'],True,raw
sim_v0_3800,3,Object Drop,"Cal, kararını vermişti ama önce sordu.",[],True,raw
ygemw_0_3495,1,Genitive Drop,"Yakınmasını kesti, yüzünü kapağa çevirdi.",,,raw
aug_prop_16343,6,Genitive Drop,Seyfullah Saygıdeğer Fuat düşüncelerini bölmedi .,[],True,augmentation
sim_v0_0,1,Object Drop,Bekarlar cehenneme gidebilir ama sen gidemezsin.,,,raw
seed_1822,1,Ki Expression,Senin arkandaki ne?,[],True,gold
aug_prop_3906,1,Object Drop,Kalemimi kaybettim  anlıyor musun?,,,augmentation
seed_96,3,Subject Drop,O üniversiteyi incelemişler ama tercih etmeyecekmiş.,[],True,gold
aug_prop_3356,3,Genitive Drop,Babası son derece neşeli  girişken bir dişçiydi.,[],True,augmentation
aug_prop_3974,5,Object Drop,O üniversiteyi okumuşlar ama o seçmemiş.,['O üniversiteyi'],True,augmentation
aug_prop_5886,3,Subject Drop,Hasan serkan not defterini kapadı ve odadan çıktı .,['Hasan serkan'],True,augmentation
aug_prop_16917,1,Genitive Drop,Adı bu ydu demek : Teyfik Ebru .,,,augmentation
sim_v0_27823,3,No Ellipsis,Piyano sesleri bize kadar geliyordu.,[],True,raw
sluice_2402,3,Subject Drop,`` Neden bilmiyorum ` dedim . '',[],True,gold
sim_v0_7232,5,Subject Drop,"Sivri öğrencilerin listesini yapmışlar, ifademizi alıyorlardı.",[],True,raw
sim_v0_22462,5,Genitive Drop,Peşinden bağırışlar geldi.,[],True,raw
seed_2393,1,Fragment,Seçimlerden iki hafta sonra.,[],True,gold
sluice_1745,3,Subject Drop,"`` Sebepleri ne olursa olsun , nedenini bilmek istiyorum ve belki bu hafta sonu bunu ortaya çıkarır . ''",[],True,gold
aug_prop_25785,6,Genitive Drop,Meriç yere oturdu ve nefesini tuttu .,['Meriç'],True,augmentation
sim_v0_8196,3,Subject Drop,Öyle sık omzunun üzerinden arkaya bakıyordu ki insanlara çarpıp duruyordu.,[],True,raw
sluice_2346,3,Subject Drop,- Gelecek sezon anında tekrarını bekliyor ama ne şekilde olduğunu bilmiyor.,[],True,gold
sim_v0_8259,3,Object Drop,"Thorne, kaim siyah ceketini çıkardı ve sandalyesinin arkasına astı.",['kaim siyah ceketini'],True,raw
aug_prop_11513,6,Subject Drop,"Füsun yeniden ipi tutmayı denedi , fakat şiş parmakları zonkluyor ve bir işe de yaramıyordu .",['şiş parmakları'],True,augmentation
aorpkd_0_2880,1,Subject Drop,"Bunu sezebiliyordum; sevgisini, kaygısını.",,,raw
seed_906,3,Argument Drop,"Hava sıcak olduğu için fanı açın, klimayı değil.",['Hava sıcak olduğu için'],True,gold
aug_prop_20469,1,NP Drop,dört elma düşüyordu ama sadece beş tane alabildik .,,,augmentation
sim_v0_17025,5,Gapping,Sen onun ilk bildirisini imzaladın; o da seninkini.,['imzaladın;'],True,raw
aug_prop_11792,1,Genitive Drop,Baturay kansu anlamayarak kaşlarını çattı fakat hemen sonra gözleri parladı .,,,augmentation
muklg_0_2334,1,Subject Drop,Biz fakir insanlarız ama neyimiz varsa paylaşırız!,,,raw
bbcbb_0_198,1,Subject Drop,"Bütün ölümleri tek bir ölüme dönüştürüyordu, en yakınının en sevdiğinin ölümüne.",[],True,raw
aug_prop_6492,1,Gapping,"Başkan onun yüzünde ki ifadeyi gördü , Baran sansar gözlerinin kıpkırmızı parlamasını da .",,,augmentation
aug_prop_17282,5,Genitive Drop,"Senan Devletler hava sahasına doğru yol alırken , Aylia önümüzde kayboldu .",[],True,augmentation
mpc_0_1642,5,VP Ellipsis,"Tahtaya vurdu üç kez, masanın altından, Nuriye Hanıma göstermeden.","['Tahtaya vurdu üç kez,']",True,raw
sluice_85,5,Subject Drop,Nedense -- neden diye sormayın -- kendimi 1960'ların başında ilçe komiseri eski Sam Poe'yu hatırlarken buldum .,[],True,gold
aug_prop_20567,4,Genitive Drop,Rasim kocaman elini uzattı .,['Rasim'],True,augmentation
aug_prop_19041,1,Object Drop,"“Risk almamalıyız , ” dedi Fatih ama hiç kimse dinlemiyordu .",,,augmentation
aug_prop_13244,1,No Ellipsis,"Birinci Kural bunu zorlaştırıyor , Ali Fatih mehmet .",[],True,augmentation
seed_708,3,Genitive Drop,"Bu markanın kahveleri acı, diğerininki daha tatlı.","[{'value': [{'start': 17, 'end': 19, 'tag': 'ANTECEDENT'}], 'tag': 'ANTECEDENT'}]",True,gold
skkob_0_37,1,Gapping,"Bunu söylese, aklını kaçırdığını sanacaklar ya da rol yaptığını.",,,raw
aug_prop_17736,1,Subject Drop,"Ruhlar Dehlizi gibi bir yer hiç duymadım , ama Burcu Kayalıkları biraz tanıdık geliyor .",[],True,augmentation
aug_prop_10429,3,Subject Drop,Leziz soluğunu bıraktı ve dudağını ısırdı .,['Leziz'],True,augmentation
sim_v0_14774,3,Subject Drop,Altındaki ateşi umursamadan yangın merdivenine çıkarak kırık metalin üstünde ilerledi.,[],True,raw
sluice_2964,3,Genitive Drop,"“Başkan Yardımcısı Gore 'Ben Başkan Clinton'dan farklıyım' demek istiyorsa, nasıl olduğunu açıklasın.","[""farklıyım'""]",True,gold
aug_prop_13497,6,Argument Drop,Burak dönüp emretti,[],True,augmentation
seed_1985,1,Ki Expression,Evdekiler nerede?,[],True,gold
seed_2621,1,Genitive Drop,Kafesinden kurtulup kaçtığından beri.,[],True,gold
aug_prop_11202,1,Subject Drop,iki defa Allah adına yemin verdim .,[],True,augmentation
seed_2135,1,Subject Drop,Haritadakileri bulup yarışı kazanmalıyız.,[],True,gold
sluice_1307,3,Genitive Drop,"Yönetim henüz ne kadar olduğunu bilmese de, bu Massachusetts'e biraz paraya mal olacak.",['paraya'],True,gold
ssjb_0_1121,3,VP Ellipsis,"Çocuklara şimdiden bir vaatte bulundum, ilerde sahip olacağımız şu çocuklara.","['şimdiden bir vaatte bulundum,']",True,raw
aug_prop_10144,4,Subject Drop,Yusuf kapıyı açtı ama sessizliğini korudu .,['Yusuf'],True,augmentation
aug_prop_18990,5,Subject Drop,"Ruhlar Dehlizi gibi bir yer hiç duymadım , ama Dilek Kayalıkları biraz tanıdık geliyor .",[],True,augmentation
aug_prop_21986,3,Genitive Drop,"Erkan , hayır anlamında başını salladı .",['Erkan'],True,augmentation
aug_prop_14636,5,Gapping,"Feyza soruna kendi çözümünü getirmişti , Zafer da kendinin kini .",['getirmişti'],True,augmentation
sim_v0_7602,5,Genitive Drop,Zavallı ailesi mektup göndermiş ve mektup almış.,[],True,raw
aug_prop_14522,3,Genitive Drop,Don Hale dayanamayıp ellerini ovuşturdu .,['Don Hale'],True,augmentation
aug_prop_11523,1,Gapping,"Mustafa yarın geliyor , teyzemse Cuma günü .",,,augmentation
sim_v0_898,1,Genitive Drop,Yüzü iyice kızarıyor ve parlamaya başlıyor.,,,raw
aug_prop_19075,5,Object Drop,Kubilay onu çevirdi ve kucaklayarak kaldırdı .,['onu'],True,augmentation
sim_v0_3945,1,Subject Drop,Hizmetçi fazla kalmayacağını söylemişti ama kesin konuşmamıştı.,,,raw
aug_prop_22495,1,Genitive Drop,Selkan murad ne kadar zaman geçtiğini bilmiyordu ; ama dünyası yeniden netleşmeye başlamıştı .,,,augmentation
sim_v0_19150,5,Subject Drop,Yatak odama girdim.,[],True,raw
oddth_0_13103,1,Subject Drop,"Kadın gözlerini kaçırmadı ama fotoğrafları görür görmez yüzünün bütün kanı çekilmiş, gözleri fal taşı gibi açılmıştı.",['Kadın'],True,raw
aug_prop_6667,1,Object Drop,"Erhan hüseyin , ortalıkta dolaşıp bir kızı dansa kaldırdı ama nedense kız istemedi .",,,augmentation
aug_prop_14334,1,Subject Drop,Ahmet onu gördü ve diğerlerinden ayrıldı .,['Ahmet'],True,augmentation
sim_v0_24015,3,Subject Drop,“Düşmanlarımızın bunu anlayışla karşılayacaklarını düşünüyoruz.,[],True,raw
sim_v0_8456,5,Genitive Drop,Mantığı bu sözcüğün yerinde olmadığını söylüyordu ama boşuna.,[],True,raw
seed_817,1,Gapping,"O beş adet nar aldı, ben ise iki adet kabak.",,,gold
aug_prop_10050,1,Gapping,"Jülide zehra Eyyüp da mahpus tur , Fatih Bilge da .",,,augmentation
seed_2214,1,Gapping,Fazıl piyano da çalar darbuka da.,[],True,gold
aug_prop_11770,1,Subject Drop,Ben Fatma Gamze değilim ; kahrolası bir hırsızım .,['Ben'],True,augmentation
seed_2212,1,Gapping,Mustafa ilk Dilbilim okudu sonra mühendislik.,[],True,gold
seed_1185,1,Genitive Drop,Halka küpelerini çıkardı.,[],True,gold
aug_prop_2031,3,Subject Drop,O tehlikelere düşmenize gerek olmadığını anlayabilir ve üstesinden gelebilirsiniz.,[],True,augmentation
aug_prop_18773,3,Genitive Drop,"Yeliz ellerini kadının omuzlarından aşağı kaydırdı , kollarıyla vücudunu sardı .",['Yeliz'],True,augmentation
sluice_1733,3,Genitive Drop,"Yüzeyde, nedenini anlamak zor.",[],True,gold
aug_prop_21573,5,No Ellipsis,Özlem yazılmış eserlerin müelliflerine yüz vermezdi .,[],True,augmentation
aug_prop_3602,1,Argument Drop,Bana anlattıklarını sevdiğim için başka bir kitap önerdi.,,,augmentation
aug_prop_14148,1,Subject Drop,Mehmet akif elini verdi ve merdivenleri indi .,['Mehmet akif'],True,augmentation
ktpkd_0_5039,6,No Ellipsis,"Evet, diye kabullendi sonra, aslında onlarınki için de.",[],True,raw
aug_prop_11554,6,Object Drop,"Başak , kaim siyah ceketini çıkardı ve sandalyesinin arkasına astı .",['kaim siyah ceketini'],True,augmentation
bcia_0_8125,6,Argument Drop,Amcam durmadan beni arıyordu ama telefonu açmadım.,['Amcam'],True,raw
sim_v0_14137,5,Subject Drop,Baskısı ve içeriği ile çocuk dergiciliğinde örnek bir yayın niteliği kazandı.,[],True,raw
bmp_0_7565,3,VP Ellipsis,Bu hikâyeleri Hagen veriyordu onlara; gerekli bilgileri de.,['Hagen veriyordu onlara;'],True,raw
sim_v0_23082,5,Genitive Drop,Kadın menekşe gözleriyle onu inceledi.,['Kadın'],True,raw
sim_v0_20352,3,Subject Drop,"Koltukların, kanapelerin üstünü örter.",[],True,raw
aug_prop_24353,3,No Ellipsis,Nizamettin benim yiğenimdi .,[],True,augmentation
aug_prop_12123,5,Genitive Drop,"Murat , bedenimi yokladı , kemiklerim eline geldi .",[],True,augmentation
togrrm_0_11747,5,Subject Drop,"Ben de, Illyrio da defalarca anlattık ama ağabeyiniz anlamıyor.",[],True,raw
seed_1700,3,Genitive Drop,Uykusu gelenler evine gitsin.,[],True,gold
aug_prop_1466,3,Object Drop,Kanlı battaniyeye uzandı ve tuttu.,['Kanlı battaniyeye'],True,augmentation
sluice_518,3,Genitive Drop,Nedenini bilmiyorlar.,[],True,gold
sim_v0_24806,5,Genitive Drop,Pek fazla düşünecek vaktimiz yoktu.,[],True,raw
aug_prop_20622,3,No Ellipsis,Halil bundan emindi .,[],True,augmentation
sluice_769,3,Object Drop,"Kaldırmanın sesi hiç şüphesiz daha iyi yönde değiştireceği mantıklıydı, ancak ne kadar olduğunu tahmin etmek zordu.",[],True,gold
aug_prop_2073,3,Subject Drop,Pazardan bez torba içinde gelirdi ve hep kapalıydı.,[],True,augmentation
aug_prop_6623,3,Genitive Drop,Ender cebinden not defterini çıkardı .,['Ender'],True,augmentation
aug_prop_7811,3,Genitive Drop,bir şey elinin tersini yaktı .,[],True,augmentation
cgdfh_0_1180,3,Subject Drop,Ve acaba şimdi nedir?,[],True,raw
aug_prop_1541,5,Genitive Drop,Sadece bir kadın düşünüyorum  gerisi zom.,[],True,augmentation
seed_61,1,Argument Drop,Uçağı Simge kaçırmış ama ben yetiştim.,['Uçağı'],True,gold
