candidate_id,annotator_id,elliptical_type,candidate_text,span,sentence_quality
aug_prop_19484,005,Object Drop,"Mustafa gözlerini yumdu , ama ağzım saklayamadı .",[],True
sim_v0_16177,005,Subject Drop,Ben Lukas Fehrwight değilim; kahrolası bir hırsızım.,['Ben'],True
aug_prop_2923,005,Subject Drop,Tarlalardaki ürünler büyüyene kadar hayatta kalmalıyız.,[],True
aug_prop_25454,0001,Genitive Drop,"yedi kere daha yüzü bembeyaz kesildi , öyle ki bayılacağını sandım .",,
sim_v0_1740,0001,Genitive Drop,Metias’ın günlükleri aklıma geldi.,,
aug_prop_17423,006,Argument Drop,Eftal murat dönmeyi bıraktı ama sırtı arkasından yaklaşan yaratığa dönüktü .,['Eftal murat'],True
sim_v0_15002,005,Genitive Drop,"Ağzı, burun delikleri ve gözleri kumla doluydu.",[],True
aug_prop_2565,005,Subject Drop,Çeşitli zamanlarda Münebbih ile de görüşerek ilahî sıfatlar konusunu tartışmıştır.,[],True
aug_prop_16843,0001,Genitive Drop,"Sultan gülmek istedi fakat gülümsemesi yarım kaldı , yaraları acıyordu .",,
aug_prop_25620,005,Genitive Drop,Ayhan cevap vermedi ama göğsü kabardı .,['Ayhan'],True
aug_prop_11919,006,Argument Drop,"Velit bir şeyler söyledi ama Begüm anlamamıştı , başını salladı .",['Begüm'],True
aug_prop_13665,005,Genitive Drop,Merve bunu öldürür ve öküzlerini alır .,['bunu'],True
aug_prop_14732,005,Genitive Drop,"Mesude sinsi sinsi güldü , yeşil gözleri ışıldadı .",['Mesude'],True
aug_prop_15308,0001,Argument Drop,Muhammet mustafa çiçekleri nişanlısı göndermiş ama hediyeyi annesi vermiş .,,
aug_prop_3015,003,Genitive Drop,Kardeşlere selâm söyle. Konya'ya doğru yola çıkarken kardeşlerinizin ellerini öpün ve merhaba deyin.,[],True
kstar_0_4900,001,Genitive Drop,"Sirke ve şeytantersi kokusu burun deliklerini yaktı, ama Estha alışkındı buna, seviyordu.",['Estha'],True
aug_prop_2143,003,Genitive Drop,Elini bana bir kadın gibi uzattı ve yüksek sesle gülmeye başladı.,[],True
aug_prop_15863,0001,Gapping,"Hidayet bir tahtanın üzerine tırmanıyor , sonra bir başka tahtaya .",,
zmhgw_0_1474,0001,Subject Drop,"Budalaca hareketlerle iki üç Morlock geldi üzerime, onları titreyerek, yumruklarımla püskürttüm.",,
aug_prop_2943,005,Subject Drop,2. Dünya Savaşı'ndan sonra Sahil Güvenlik'ten terhis olunca mürettebatıyla iddiaya girdi.,[],True
sim_v0_21049,005,Genitive Drop,..” Jon umutsuzca ellerine bakıyordu.,['Jon'],True
aug_prop_17229,005,Genitive Drop,Yavuz selim erkek olmakla ilgili ne öğrendiyse babasına borçlu ydu .,['Yavuz selim'],True
ctyco_0_1042,006,Stripping,"Babam da hep bunun yapıldığını gördü, babamın babası da.","['hep bunun yapıldığını gördü,']",True
aug_prop_2288,005,Subject Drop,Michelle kalabalıkta Sally'nin tanıdık yüzünü aradı ve aradığını buldu ve el salladı.,['Michelle'],True
seed_181,0001,Object Drop,"Sana mektup gönderdim, okur musun?",,
aug_prop_20700,0001,Pronominal Strategy,"Ahmet emre beni onaylamayabilir , ancak Derya öyle değil .",,
aug_prop_18018,0001,Sluicing,"Kardeşimiz Mümüne bir küçük musibeti varmış diye yazıyor , ne imiş ?",,
spg_0_720,001,Genitive Drop,Bu yüzden kendimizdeki bu sorunları fark etmemiz gerek; ve bunların KENDİMİZDEN kaynaklandığını da.,[],True
seed_336,0001,Argument Drop,Radyoyu açınca hüzünlendi çünkü çalan şarkı annesini hatırlattı.,,
odhm_0_4890,001,No Ellipsis,"Elimi bacaklarının arasına, o kalın kürk torbasına soktum ve ıpıslaktı, salyalı bir at gibi.",[],True
sim_v0_14443,005,Subject Drop,"Isınmak için, yıla bölündüğünde günde iki meteliği aşmayan kömür yakıyordum.",[],True
aug_prop_12155,005,Subject Drop,"Eylem , Süleyman Beyza ki çiçekçiden iki tane kırmızı gül almıştı , onları elinde dikkatlice tutuyordu .","['Eylem , Süleyman Beyza']",True
aug_prop_6521,003,Genitive Drop,Yıldız Çağri uzanıp elimi tuttu .,[],True
aug_prop_2560,003,Subject Drop,O kadar çok şey söyledi ki  neden bahsettiğini gece rüyalarımda gördüm.,[],True
aug_prop_24154,005,Subject Drop,Sonra Savaş evinin yakınında serbest bıraktım .,[],True
cbkpw_0_1067,0001,Subject Drop,"Kapıda durduğumuzda lacivert duvarlara baktım, sonra kırık dökük yatağına.",,
ytg_0_6888,001,Genitive Drop,"Jared Profitt ceketini giyip kravatını bağladı ve o bunaltıcı günün içine daldı, ama sıcaklığın farkında bile değildi.",['Jared Profitt'],True
aug_prop_3550,005,Genitive Drop,Sesinde gizli bir öfke  omuzlarında kayıtsızlık vardı.,[],True
aug_prop_23647,005,Ki Expression,"Burak elinde ki fincana baktı , aniden içinde kini Mehmet veysel yüzüne fırlattı .",[],True
aug_prop_11009,003,Genitive Drop,Fakat Sultan gene yüzüne bakmadı .,[],True
sluice_4199,003,Subject Drop,"Zengin bir çocuk olduğunuz için Bay Grinch, işte bu yüzden.",[],True
sim_v0_2281,0001,Gapping,Jeannette ne kuklaydı ne de köle.,,
aug_prop_3289,005,Subject Drop,Keşke kalıcı bir iş bulabilseydim ve bana verdiğin bazı şeyleri ödeyebilseydim.,[],True
aug_prop_21118,005,Subject Drop,üç koç yumurtasını kızartıyordu .,[],True
sim_v0_22006,006,Object Drop,"Koluna girip kaldırıyor, evine götürüyor.",[],True
aug_prop_13727,005,Subject Drop,Şüphesiz ki Yusuf iyileştirecek ve kardeşlerine katılacaktı .,['Yusuf'],True
aug_prop_251,003,Subject Drop,Babam başını salladı ve uzağa baktı.,['Babam'],True
aug_prop_6065,003,Genitive Drop,Bedri üvey babasının cömertliğinden cesaret almıştı .,['Bedri'],True
aug_prop_19194,005,Argument Drop,"Muhammed BEYEFENDİ Söyleyin , boşboğaz değilimdir .",[],True
sim_v0_4406,005,Subject Drop,Nick başını sallamış ve gülümsemeye çalışmıştı.,['Nick'],True
skfmd_0_6060,0001,Subject Drop,"Foma Fomiç'in aklına her şey gelebilirdi, ama böyle bir sonu hiç beklemezdi herhalde.",,
sim_v0_24202,005,Genitive Drop,"Moiraine bunu tahminlerinin teyidi olarak gördü, Siuan bile inanmaya başladı.",['Moiraine'],True
sim_v0_3800,003,Object Drop,"Cal, kararını vermişti ama önce sordu.",[],True
ygemw_0_3495,0001,Genitive Drop,"Yakınmasını kesti, yüzünü kapağa çevirdi.",,
aug_prop_16343,006,Genitive Drop,Seyfullah Saygıdeğer Fuat düşüncelerini bölmedi .,[],True
sim_v0_0,0001,Object Drop,Bekarlar cehenneme gidebilir ama sen gidemezsin.,,
seed_1822,001,Ki Expression,Senin arkandaki ne?,[],True
aug_prop_3906,0001,Object Drop,Kalemimi kaybettim  anlıyor musun?,,
seed_96,003,Subject Drop,O üniversiteyi incelemişler ama tercih etmeyecekmiş.,[],True
aug_prop_3356,003,Genitive Drop,Babası son derece neşeli  girişken bir dişçiydi.,[],True
aug_prop_3974,005,Object Drop,O üniversiteyi okumuşlar ama o seçmemiş.,['O üniversiteyi'],True
aug_prop_5886,003,Subject Drop,Hasan serkan not defterini kapadı ve odadan çıktı .,['Hasan serkan'],True
aug_prop_16917,0001,Genitive Drop,Adı bu ydu demek : Teyfik Ebru .,,
sim_v0_27823,003,No Ellipsis,Piyano sesleri bize kadar geliyordu.,[],True
sluice_2402,003,Subject Drop,`` Neden bilmiyorum ` dedim . '',[],True
sim_v0_7232,005,Subject Drop,"Sivri öğrencilerin listesini yapmışlar, ifademizi alıyorlardı.",[],True
sim_v0_22462,005,Genitive Drop,Peşinden bağırışlar geldi.,[],True
seed_2393,001,Fragment,Seçimlerden iki hafta sonra.,[],True
sluice_1745,003,Subject Drop,"`` Sebepleri ne olursa olsun , nedenini bilmek istiyorum ve belki bu hafta sonu bunu ortaya çıkarır . ''",[],True
aug_prop_25785,006,Genitive Drop,Meriç yere oturdu ve nefesini tuttu .,['Meriç'],True
sim_v0_8196,003,Subject Drop,Öyle sık omzunun üzerinden arkaya bakıyordu ki insanlara çarpıp duruyordu.,[],True
sluice_2346,003,Subject Drop,- Gelecek sezon anında tekrarını bekliyor ama ne şekilde olduğunu bilmiyor.,[],True
sim_v0_8259,003,Object Drop,"Thorne, kaim siyah ceketini çıkardı ve sandalyesinin arkasına astı.",['kaim siyah ceketini'],True
aug_prop_11513,006,Subject Drop,"Füsun yeniden ipi tutmayı denedi , fakat şiş parmakları zonkluyor ve bir işe de yaramıyordu .",['şiş parmakları'],True
aorpkd_0_2880,0001,Subject Drop,"Bunu sezebiliyordum; sevgisini, kaygısını.",,
seed_906,003,Argument Drop,"Hava sıcak olduğu için fanı açın, klimayı değil.",['Hava sıcak olduğu için'],True
aug_prop_20469,0001,NP Drop,dört elma düşüyordu ama sadece beş tane alabildik .,,
sim_v0_17025,005,Gapping,Sen onun ilk bildirisini imzaladın; o da seninkini.,['imzaladın;'],True
aug_prop_11792,0001,Genitive Drop,Baturay kansu anlamayarak kaşlarını çattı fakat hemen sonra gözleri parladı .,,
muklg_0_2334,0001,Subject Drop,Biz fakir insanlarız ama neyimiz varsa paylaşırız!,,
bbcbb_0_198,001,Subject Drop,"Bütün ölümleri tek bir ölüme dönüştürüyordu, en yakınının en sevdiğinin ölümüne.",[],True
aug_prop_6492,0001,Gapping,"Başkan onun yüzünde ki ifadeyi gördü , Baran sansar gözlerinin kıpkırmızı parlamasını da .",,
aug_prop_17282,005,Genitive Drop,"Senan Devletler hava sahasına doğru yol alırken , Aylia önümüzde kayboldu .",[],True
mpc_0_1642,005,VP Ellipsis,"Tahtaya vurdu üç kez, masanın altından, Nuriye Hanıma göstermeden.","['Tahtaya vurdu üç kez,']",True
sluice_85,005,Subject Drop,Nedense -- neden diye sormayın -- kendimi 1960'ların başında ilçe komiseri eski Sam Poe'yu hatırlarken buldum .,[],True
aug_prop_20567,004,Genitive Drop,Rasim kocaman elini uzattı .,['Rasim'],True
aug_prop_19041,0001,Object Drop,"“Risk almamalıyız , ” dedi Fatih ama hiç kimse dinlemiyordu .",,
aug_prop_13244,001,No Ellipsis,"Birinci Kural bunu zorlaştırıyor , Ali Fatih mehmet .",[],True
seed_708,003,Genitive Drop,"Bu markanın kahveleri acı, diğerininki daha tatlı.","[{'value': [{'start': 17, 'end': 19, 'tag': 'ANTECEDENT'}], 'tag': 'ANTECEDENT'}]",True
skkob_0_37,0001,Gapping,"Bunu söylese, aklını kaçırdığını sanacaklar ya da rol yaptığını.",,
aug_prop_17736,001,Subject Drop,"Ruhlar Dehlizi gibi bir yer hiç duymadım , ama Burcu Kayalıkları biraz tanıdık geliyor .",[],True
aug_prop_10429,003,Subject Drop,Leziz soluğunu bıraktı ve dudağını ısırdı .,['Leziz'],True
sim_v0_14774,003,Subject Drop,Altındaki ateşi umursamadan yangın merdivenine çıkarak kırık metalin üstünde ilerledi.,[],True
sluice_2964,003,Genitive Drop,"“Başkan Yardımcısı Gore 'Ben Başkan Clinton'dan farklıyım' demek istiyorsa, nasıl olduğunu açıklasın.","[""farklıyım'""]",True
aug_prop_13497,006,Argument Drop,Burak dönüp emretti,[],True
seed_1985,001,Ki Expression,Evdekiler nerede?,[],True
seed_2621,001,Genitive Drop,Kafesinden kurtulup kaçtığından beri.,[],True
aug_prop_11202,001,Subject Drop,iki defa Allah adına yemin verdim .,[],True
seed_2135,001,Subject Drop,Haritadakileri bulup yarışı kazanmalıyız.,[],True
sluice_1307,003,Genitive Drop,"Yönetim henüz ne kadar olduğunu bilmese de, bu Massachusetts'e biraz paraya mal olacak.",['paraya'],True
ssjb_0_1121,003,VP Ellipsis,"Çocuklara şimdiden bir vaatte bulundum, ilerde sahip olacağımız şu çocuklara.","['şimdiden bir vaatte bulundum,']",True
aug_prop_10144,004,Subject Drop,Yusuf kapıyı açtı ama sessizliğini korudu .,['Yusuf'],True
aug_prop_18990,005,Subject Drop,"Ruhlar Dehlizi gibi bir yer hiç duymadım , ama Dilek Kayalıkları biraz tanıdık geliyor .",[],True
aug_prop_21986,003,Genitive Drop,"Erkan , hayır anlamında başını salladı .",['Erkan'],True
aug_prop_14636,005,Gapping,"Feyza soruna kendi çözümünü getirmişti , Zafer da kendinin kini .",['getirmişti'],True
sim_v0_7602,005,Genitive Drop,Zavallı ailesi mektup göndermiş ve mektup almış.,[],True
aug_prop_14522,003,Genitive Drop,Don Hale dayanamayıp ellerini ovuşturdu .,['Don Hale'],True
aug_prop_11523,0001,Gapping,"Mustafa yarın geliyor , teyzemse Cuma günü .",,
sim_v0_898,0001,Genitive Drop,Yüzü iyice kızarıyor ve parlamaya başlıyor.,,
aug_prop_19075,005,Object Drop,Kubilay onu çevirdi ve kucaklayarak kaldırdı .,['onu'],True
sim_v0_3945,0001,Subject Drop,Hizmetçi fazla kalmayacağını söylemişti ama kesin konuşmamıştı.,,
aug_prop_22495,0001,Genitive Drop,Selkan murad ne kadar zaman geçtiğini bilmiyordu ; ama dünyası yeniden netleşmeye başlamıştı .,,
sim_v0_19150,005,Subject Drop,Yatak odama girdim.,[],True
oddth_0_13103,001,Subject Drop,"Kadın gözlerini kaçırmadı ama fotoğrafları görür görmez yüzünün bütün kanı çekilmiş, gözleri fal taşı gibi açılmıştı.",['Kadın'],True
aug_prop_6667,0001,Object Drop,"Erhan hüseyin , ortalıkta dolaşıp bir kızı dansa kaldırdı ama nedense kız istemedi .",,
aug_prop_14334,001,Subject Drop,Ahmet onu gördü ve diğerlerinden ayrıldı .,['Ahmet'],True
sim_v0_24015,003,Subject Drop,“Düşmanlarımızın bunu anlayışla karşılayacaklarını düşünüyoruz.,[],True
sim_v0_8456,005,Genitive Drop,Mantığı bu sözcüğün yerinde olmadığını söylüyordu ama boşuna.,[],True
seed_817,0001,Gapping,"O beş adet nar aldı, ben ise iki adet kabak.",,
aug_prop_10050,0001,Gapping,"Jülide zehra Eyyüp da mahpus tur , Fatih Bilge da .",,
seed_2214,001,Gapping,Fazıl piyano da çalar darbuka da.,[],True
aug_prop_11770,001,Subject Drop,Ben Fatma Gamze değilim ; kahrolası bir hırsızım .,['Ben'],True
seed_2212,001,Gapping,Mustafa ilk Dilbilim okudu sonra mühendislik.,[],True
seed_1185,001,Genitive Drop,Halka küpelerini çıkardı.,[],True
aug_prop_2031,003,Subject Drop,O tehlikelere düşmenize gerek olmadığını anlayabilir ve üstesinden gelebilirsiniz.,[],True
aug_prop_18773,003,Genitive Drop,"Yeliz ellerini kadının omuzlarından aşağı kaydırdı , kollarıyla vücudunu sardı .",['Yeliz'],True
sluice_1733,003,Genitive Drop,"Yüzeyde, nedenini anlamak zor.",[],True
aug_prop_21573,005,No Ellipsis,Özlem yazılmış eserlerin müelliflerine yüz vermezdi .,[],True
aug_prop_3602,0001,Argument Drop,Bana anlattıklarını sevdiğim için başka bir kitap önerdi.,,
aug_prop_14148,001,Subject Drop,Mehmet akif elini verdi ve merdivenleri indi .,['Mehmet akif'],True
ktpkd_0_5039,006,No Ellipsis,"Evet, diye kabullendi sonra, aslında onlarınki için de.",[],True
aug_prop_11554,006,Object Drop,"Başak , kaim siyah ceketini çıkardı ve sandalyesinin arkasına astı .",['kaim siyah ceketini'],True
bcia_0_8125,006,Argument Drop,Amcam durmadan beni arıyordu ama telefonu açmadım.,['Amcam'],True
sim_v0_14137,005,Subject Drop,Baskısı ve içeriği ile çocuk dergiciliğinde örnek bir yayın niteliği kazandı.,[],True
bmp_0_7565,003,VP Ellipsis,Bu hikâyeleri Hagen veriyordu onlara; gerekli bilgileri de.,['Hagen veriyordu onlara;'],True
sim_v0_23082,005,Genitive Drop,Kadın menekşe gözleriyle onu inceledi.,['Kadın'],True
sim_v0_20352,003,Subject Drop,"Koltukların, kanapelerin üstünü örter.",[],True
aug_prop_24353,003,No Ellipsis,Nizamettin benim yiğenimdi .,[],True
aug_prop_12123,005,Genitive Drop,"Murat , bedenimi yokladı , kemiklerim eline geldi .",[],True
togrrm_0_11747,005,Subject Drop,"Ben de, Illyrio da defalarca anlattık ama ağabeyiniz anlamıyor.",[],True
seed_1700,003,Genitive Drop,Uykusu gelenler evine gitsin.,[],True
aug_prop_1466,003,Object Drop,Kanlı battaniyeye uzandı ve tuttu.,['Kanlı battaniyeye'],True
sluice_518,003,Genitive Drop,Nedenini bilmiyorlar.,[],True
sim_v0_24806,005,Genitive Drop,Pek fazla düşünecek vaktimiz yoktu.,[],True
aug_prop_20622,003,No Ellipsis,Halil bundan emindi .,[],True
sluice_769,003,Object Drop,"Kaldırmanın sesi hiç şüphesiz daha iyi yönde değiştireceği mantıklıydı, ancak ne kadar olduğunu tahmin etmek zordu.",[],True
aug_prop_2073,003,Subject Drop,Pazardan bez torba içinde gelirdi ve hep kapalıydı.,[],True
aug_prop_6623,003,Genitive Drop,Ender cebinden not defterini çıkardı .,['Ender'],True
aug_prop_7811,003,Genitive Drop,bir şey elinin tersini yaktı .,[],True
cgdfh_0_1180,003,Subject Drop,Ve acaba şimdi nedir?,[],True
aug_prop_1541,005,Genitive Drop,Sadece bir kadın düşünüyorum  gerisi zom.,[],True
seed_61,001,Argument Drop,Uçağı Simge kaçırmış ama ben yetiştim.,['Uçağı'],True
sluice_2621,003,Genitive Drop,Müze personelinin hiçbiri tam olarak nedenini söyleyemedi.,[],True
sim_v0_17071,005,Subject Drop,Hartvigsen eve gelinceye kadar bekledim.,[],True
zot_0_1825,001,Genitive Drop,"Neye, nelere onca güldüğünü anımsamıyordu, ne şimdilerde ne o günün ertesinde.",[],True
aug_prop_13794,0001,Genitive Drop,Hilal Sokakta kaç kere yanına yanaşmak istedim ; ama her defasında dizlerimin bağı çözüldü .,,
aug_prop_12256,005,Object Drop,Sonra Yusuf ziya gördü ve gülümsemesi kayboldu .,[],True
sim_v0_22854,005,Argument Drop,"Rowena Magruder Rawlings elini uzatmıyor, kaldırıyordu ve Callahan bunu anlayamamıştı.",['Callahan'],True
m2jh_0_520,005,Genitive Drop,Çadırını deli biriyle paylaşmak kolay değildi ama Nately aldırmıyordu.,[],True
aug_prop_4849,005,Genitive Drop,Yoldaşlar sessizce izlediler  sonra arkalarını döndüler.,['Yoldaşlar'],True
aug_prop_23907,0001,Object Drop,"Zavallı Nilüfer bir şeyler mırıldandı , ama kimse anlamadı , hatta kendisi bile .",,
aug_prop_24422,006,Subject Drop,"Muhammed , peykeden atladı , gözlerini kırpıştırarak yürüdü .",['Muhammed'],True
seed_871,0001,Stripping,"Kızım bir Golden istiyor, Labrador değil.",,
aug_prop_16611,003,Subject Drop,Latife cismi inceledi ve başını salladı .,['Latife'],True
aug_prop_265,005,Subject Drop,Eugena güçlükle yutkundu ve derin bir nefes aldı.,['Eugena'],True
aug_prop_873,003,Genitive Drop,Zihnimde sesi duyabiliyordum ama kelimeleri duyamıyordum.,[],True
